Edu_district,City,County
Huntington Beach Union High School District,Huntington Beach,Orange
Hydesville Elementary School District,Hydesville,Humboldt
"Igo, Ono, Platina Union Elementary School District",Igo,Shasta
Imperial County Office Of Education School District,El Centro,Imperial
Imperial Unified School District,Imperial,Imperial
Imperial Valley Rop School District,El Centro,Imperial
Indian Diggings Elementary School District,Somerset,El Dorado
Indian Springs Elementary School District,Big Bend,Shasta
Inglewood Unified School District,Inglewood,Los Angeles
Inyo County Office Of Education School District,Independence,Inyo
Irvine Unified School District,Irvine,Orange
Island Union Elementary School District,Lemoore,Kings
Jacoby Creek Elementary School District,Bayside,Humboldt
Jamestown Elementary School District,Jamestown,Tuolumne
Jamul-Dulzura Union Elementary School District,Jamul,San Diego
Janesville Union Elementary School District,Janesville,Lassen
Jefferson Elementary School District,Paicines,San Benito
Jefferson Elementary School District,Tracy,San Joaquin
Jefferson Elementary School District,Daly City,San Mateo
Jefferson Union High School District,Daly City,San Mateo
John Swett Unified School District,Rodeo,Contra Costa
Johnstonville Elementary School District,Susanville,Lassen
Julian Union Elementary School District,Julian,San Diego
Julian Union High School District,Julian,San Diego
Junction City Elementary School District,Junction City,Trinity
Junction Elementary School District,Palo Cedro,Shasta
Junction Elementary School District,Somes Bar,Siskiyou
Jurupa Unified School District,Jurupa Valley,Riverside
Kashia Elementary School District,Stewarts Point,Sonoma
Kelseyville Unified School District,Kelseyville,Lake
Kentfield Elementary School District,Kentfield,Marin
Kenwood  School District,Kenwood,Sonoma
Keppel Union Elementary School District,Pearblossom,Los Angeles
Kerman Unified School District,Kerman,Fresno
Kern County Office Of Education School District,Bakersfield,Kern
Kern County Rop School District,Bakersfield,Kern
Kern High Roc School District,Bakersfield,Kern
Kern Union High School District,Bakersfield,Kern
Kernville Union Elementary School District,Lake Isabella,Kern
Keyes Union School District,Keyes,Stanislaus
King City Union School District,King City,Monterey
Kings Canyon Joint Unified School District,Reedley,Fresno
Kings County Office Of Education School District,Hanford,Kings
Kings County Rop School District,Lemoore,Kings
Kings River Union Elementary School District,Kingsburg,Tulare
Kings River-hardwick Union Elementary School District,Hanford,Kings
Kingsburg Elementary Charter School District,Kingsburg,Fresno
Kingsburg Joint Union High School District,Kingsburg,Fresno
Kirkwood Elementary School District,Corning,Tehama
Kit Carson Union Elementary School District,Hanford,Kings
Klamath River Union Elementary School District,Horse Creek,Siskiyou
Klamath-Trinity Joint Unified School District,Hoopa,Humboldt
Kneeland Elementary School District,Kneeland,Humboldt
Knights Ferry Elementary School District,Knights Ferry,Stanislaus
Knightsen Elementary School District,Knightsen,Contra Costa
Konocti Unified School District,Lower Lake,Lake
La Canada Unified School District,La Canada,Los Angeles
La Habra City Elementary School District,La Habra,Orange
La Honda-Pescadero Unified School District,Pescadero,San Mateo
La Mesa-Spring Valley School District,La Mesa,San Diego
La Puente Valley Rop School District,La Puente,Los Angeles
Lafayette Elementary School District,Lafayette,Contra Costa
Laguna Beach Unified School District,Laguna Beach,Orange
Laguna Joint Elementary School District,Petaluma,Marin
Lagunita Elementary School District,Salinas,Monterey
Lagunitas Elementary School District,San Geronimo,Marin
Lake County Office Of Education School District,Lakeport,Lake
Lake County Rop School District,Lakeport,Lake
Lake Elementary School District,Orland,Glenn
Lake Elsinore Unified School District,Lake Elsinore,Riverside
Lake Tahoe Unified School District,South Lake Tahoe,El Dorado
Lakeport Unified School District,Lakeport,Lake
Lakeside Joint School District,Los Gatos,Santa Clara
Lakeside Union Elementary School District,Hanford,Kings
Lakeside Union Elementary School District,Lakeside,San Diego
Lakeside Union School District,Bakersfield,Kern
Lammersville Joint Unified School District,Mountain House,San Joaquin
Lamont Elementary School District,Lamont,Kern
Lancaster Elementary School District,Lancaster,Los Angeles
Larkspur-Corte Madera School District,Larkspur,Marin
Las Lomitas Elementary School District,Menlo Park,San Mateo
Las Virgenes Unified School District,Calabasas,Los Angeles
Lassen County Office Of Education School District,Susanville,Lassen
Lassen Rop School District,Susanville,Lassen
Lassen Union High School District,Susanville,Lassen
Lassen View Union Elementary School District,Los Molinos,Tehama
Laton Joint Unified School District,Laton,Fresno
Latrobe School District,Shingle Springs,El Dorado
Lawndale Elementary School District,Lawndale,Los Angeles
Laytonville Unified School District,Laytonville,Mendocino
Le Grand Union Elementary School District,Le Grand,Merced
Le Grand Union High School District,Le Grand,Merced
Leggett Valley Unified School District,Leggett,Mendocino
Lemon Grove School District,Lemon Grove,San Diego
Lemoore Union Elementary School District,Lemoore,Kings
Lemoore Union High School District,Lemoore,Kings
Lennox School District,Lennox,Los Angeles
Lewiston Elementary School District,Lewiston,Trinity
Liberty Elementary School District,Petaluma,Sonoma
Liberty Elementary School District,Tulare,Tulare
Liberty Union High School District,Brentwood,Contra Costa
Lincoln Elementary School District,Petaluma,Marin
Lincoln Unified School District,Stockton,San Joaquin
Linden Unified School District,Linden,San Joaquin
Lindsay Unified School District,Lindsay,Tulare
Linns Valley-Poso Flat Union School District,Glennville,Kern
Little Lake City Elementary School District,Santa Fe Springs,Los Angeles
Little Shasta Elementary School District,Montague,Siskiyou
Live Oak Elementary School District,Santa Cruz,Santa Cruz
Live Oak Unified School District,Live Oak,Sutter
Livermore Valley Joint Unified School District,Livermore,Alameda
Livingston Union School District,Livingston,Merced
Lodi Unified School District,Lodi,San Joaquin
Loleta Union Elementary School District,Loleta,Humboldt
Loma Prieta Joint Union Elementary School District,Los Gatos,Santa Clara
Lompoc Unified School District,Lompoc,Santa Barbara
Lone Pine Unified School District,Lone Pine,Inyo
Long Beach Unified Rop School District,Long Beach,Los Angeles
Long Beach Unified School District,Long Beach,Los Angeles
Loomis Union Elementary School District,Loomis,Placer
Los Alamitos Unified School District,Los Alamitos,Orange
Los Altos Elementary School District,Los Altos,Santa Clara
Los Angeles County Office Of Education School District,Downey,Los Angeles
Los Angeles County Rop School District,Downey,Los Angeles
Los Angeles Unified Rocp School District,Los Angeles,Los Angeles
Los Angeles Unified School District,Los Angeles,Los Angeles
Los Banos Unified School District,Los Banos,Merced
Los Gatos Union Elementary School District,Los Gatos,Santa Clara
Los Gatos-Saratoga Joint Union High School District,Los Gatos,Santa Clara
Los Molinos Unified School District,Los Molinos,Tehama
Los Nietos School District,Whittier,Los Angeles
Los Olivos Elementary School District,Los Olivos,Santa Barbara
Lost Hills Union Elementary School District,Lost Hills,Kern
Lowell Joint School District,Whittier,Los Angeles
Lucerne Elementary School District,Lucerne,Lake
Lucerne Valley Unified School District,Lucerne Valley,San Bernardino
Lucia Mar Unified School District,Arroyo Grande,San Luis Obispo
Luther Burbank School District,San Jose,Santa Clara
Lynwood Unified School District,Lynwood,Los Angeles
Madera County Superintendent Of Schools School District,Madera,Madera
Madera Unified School District,Madera,Madera
Magnolia Elementary School District,Anaheim,Orange
Magnolia Union Elementary School District,Brawley,Imperial
Mammoth Unified School District,Mammoth Lakes,Mono
Manchester Union Elementary School District,Manchester,Mendocino
Manhattan Beach Unified School District,Manhattan Beach,Los Angeles
Manteca Unified School District,Manteca,San Joaquin
Manzanita Elementary School District,Gridley,Butte
Maple Creek Elementary School District,Korbel,Humboldt
Maple Elementary School District,Shafter,Kern
Marcum-Illinois Union Elementary School District,East Nicolaus,Sutter
Maricopa Unified School District,Maricopa,Kern
Marin County Office Of Education School District,San Rafael,Marin
Marin County Rop School District,San Rafael,Marin
Mariposa County Office Of Education School District,Mariposa,Mariposa
Mariposa County Unified School District,Mariposa,Mariposa
Mark Twain Union Elementary School District,Angels Camp,Calaveras
Mark West Union Elementary School District,Santa Rosa,Sonoma
Martinez Unified School District,Martinez,Contra Costa
Marysville Joint Unified School District,Marysville,Yuba
Mattole Unified School District,Petrolia,Humboldt
Maxwell Unified School District,Maxwell,Colusa
Mccabe Union Elementary School District,El Centro,Imperial
Mccloud Union Elementary School District,Mccloud,Siskiyou
Mcfarland Unified School District,Mcfarland,Kern
Mckinleyville Union Elementary School District,Mckinleyville,Humboldt
Mckittrick Elementary School District,Mckittrick,Kern
Mcswain Union Elementary School District,Merced,Merced
Meadows Union Elementary School District,El Centro,Imperial
Mendocino County Office Of Education School District,Ukiah,Mendocino
Mendocino County Roc Rop School District,Ukiah,Mendocino
Mendocino Unified School District,Mendocino,Mendocino
Mendota Unified School District,Mendota,Fresno
Menifee Union Elementary School District,Menifee,Riverside
Menlo Park City Elementary School District,Atherton,San Mateo
Merced City Elementary School District,Merced,Merced
Merced County Office Of Education School District,Merced,Merced
Merced County Rop School District,Merced,Merced
Merced River Union Elementary School District,Winton,Merced
Merced Union High School District,Atwater,Merced
Meridian Elementary School District,Meridian,Sutter
Mesa Union Elementary School District,Somis,Ventura
Metro Education School District,San Jose,Santa Clara
Middletown Unified School District,Middletown,Lake
Midway Elementary School District,Fellows,Kern
Mill Valley Elementary School District,Mill Valley,Marin
Millbrae Elementary School District,Millbrae,San Mateo
Millville Elementary School District,Millville,Shasta
Milpitas Unified School District,Milpitas,Santa Clara
Mission Trails Rop School District,Salinas,Monterey
Mission Union Elementary School District,Soledad,Monterey
Mission Valley Roc P School District,Fremont,Alameda
Modesto City Elementary School District,Modesto,Stanislaus
Modesto City High School District,Modesto,Stanislaus
Modoc County Office Of Education School District,Alturas,Modoc
Modoc County Rop School District,Alturas,Modoc
Modoc Joint Unified School District,Alturas,Modoc
Mojave Unified,Mojave,Kern
Mono County Office Of Education School District,Bridgeport,Mono
